Price,Adj Close,Close,High,Low,Open,Volume
Ticker,TSLS,TSLS,TSLS,TSLS,TSLS,TSLS
Date,,,,,,
2022-08-10,21.69866943359375,24.649999618530273,25.559999465942383,24.6299991607666,24.6299991607666,14200
2022-08-11,22.24267578125,25.26799964904785,25.280000686645508,24.399999618530273,24.399999618530273,21100
2022-08-12,21.208358764648438,24.093000411987305,25.34000015258789,24.079999923706055,25.049999237060547,34100
2022-08-15,20.519107818603516,23.309999465942383,23.950000762939453,23.059999465942383,23.950000762939453,74200
2022-08-16,20.659950256347656,23.469999313354492,23.809999465942383,22.979999542236328,23.288999557495117,52800
2022-08-17,20.880020141601562,23.719999313354492,24.040000915527344,23.361000061035156,23.700000762939453,57700
2022-08-18,20.993576049804688,23.849000930786133,23.91900062561035,23.59000015258789,23.59000015258789,49200
2022-08-19,21.390575408935547,24.299999237060547,24.6299991607666,24.09000015258789,24.15999984741211,47000
2022-08-22,21.921375274658203,24.902999877929688,25.1299991607666,24.690000534057617,24.690000534057617,67600
2022-08-23,21.418743133544922,24.332000732421875,25.0,24.149999618530273,24.790000915527344,55600
2022-08-24,21.38881492614746,24.29800033569336,24.299999237060547,23.790000915527344,24.239999771118164,43100
2022-08-25,21.40818214416504,24.31999969482422,24.670000076293945,23.790000915527344,23.850000381469727,36800
2022-08-26,22.000606536865234,24.993000030517578,25.030000686645508,23.950000762939453,24.010000228881836,219000
2022-08-29,22.262922286987305,25.291000366210938,25.6299991607666,25.06999969482422,25.510000228881836,43700
2022-08-30,22.837739944458008,25.944000244140625,26.3799991607666,25.030000686645508,25.030000686645508,66900
2022-08-31,22.9803466796875,26.106000900268555,26.450000762939453,25.6299991607666,25.6299991607666,46300
2022-09-01,22.913442611694336,26.030000686645508,27.020000457763672,26.030000686645508,26.469999313354492,85800
2022-09-02,23.48121452331543,26.674999237060547,26.719999313354492,25.510000228881836,25.510000228881836,52000
2022-09-06,23.12470817565918,26.270000457763672,27.079999923706055,26.139999389648438,26.420000076293945,40900
2022-09-07,22.32278060913086,25.358999252319336,26.31999969482422,25.358999252319336,26.31999969482422,27700
2022-09-08,21.901132583618164,24.8799991607666,25.649999618530273,24.850000381469727,25.6200008392334,34400
2022-09-09,21.082481384277344,23.950000762939453,24.649999618530273,23.950000762939453,24.6299991607666,64000
2022-09-12,20.77438735961914,23.600000381469727,23.93000030517578,23.545000076293945,23.93000030517578,53800
2022-09-13,21.645856857299805,24.59000015258789,24.6200008392334,24.15999984741211,24.5,208300
2022-09-14,20.83600425720215,23.670000076293945,24.56999969482422,23.3799991607666,24.510000228881836,197400
2022-09-15,20.76558494567871,23.59000015258789,23.770000457763672,23.179000854492188,23.709999084472656,230300
2022-09-16,20.81839942932129,23.649999618530273,24.190000534057617,23.600000381469727,23.90999984741211,312700
2022-09-19,20.360658645629883,23.1299991607666,24.040000915527344,23.110000610351562,23.90999984741211,194700
2022-09-20,20.42498016357422,23.18000030517578,23.3799991607666,22.829999923706055,23.299999237060547,291600
2022-09-21,20.97129249572754,23.799999237060547,23.799999237060547,22.790000915527344,23.219999313354492,211400
2022-09-22,21.808380126953125,24.75,24.93000030517578,23.760000228881836,23.84000015258789,245900
2022-09-23,22.80760383605957,25.884000778198242,26.06999969482422,25.110000610351562,25.239999771118164,163100
2022-09-26,22.715965270996094,25.780000686645508,26.32900047302246,25.079999923706055,26.209999084472656,144800
2022-09-27,22.16260528564453,25.152000427246094,25.65999984741211,24.639999389648438,25.040000915527344,167000
2022-09-28,21.808380126953125,24.75,25.6200008392334,24.649999618530273,25.270000457763672,119800
2022-09-29,23.315141677856445,26.459999084472656,26.59000015258789,25.110000610351562,25.200000762939453,186000
2022-09-30,23.526620864868164,26.700000762939453,26.976999282836914,25.75,26.6200008392334,156900
2022-10-03,25.456331253051758,28.889999389648438,29.1200008392334,27.75,27.81999969482422,307300
2022-10-04,24.858030319213867,28.211000442504883,29.06999969482422,27.309999465942383,28.059999465942383,388600
2022-10-05,25.747112274169922,29.219999313354492,30.0,28.510000228881836,28.690000534057617,207700
2022-10-06,25.989425659179688,29.4950008392334,29.763999938964844,28.760000228881836,29.280000686645508,191500
